Id,Area,SaleCondition,GarageArea,HeatingQuality,SalePrice
1,8450,Normal,548,Ex,208500
2,9600,Normal,460,Ex,181500
3,11250,Normal,608,Ex,223500
4,9550,NotNormal,642,Gd,140000
5,14260,Normal,836,Ex,250000
6,14115,Normal,480,Ex,143000
7,10084,Normal,636,Ex,307000
8,10382,Normal,484,Ex,200000
9,6120,NotNormal,468,Gd,129900
10,7420,Normal,205,Ex,118000
11,11200,Normal,384,Ex,129500
12,11924,NotNormal,736,Ex,345000
13,12968,Normal,352,TA,144000
14,10652,NotNormal,840,Ex,279500
15,10920,Normal,352,TA,157000
16,6120,Normal,576,Ex,132000
17,11241,Normal,480,Ex,149000
18,10791,Normal,516,TA,90000
19,13695,Normal,576,Ex,159000
20,7560,NotNormal,294,TA,139000
21,14215,NotNormal,853,Ex,325300
22,7449,Normal,280,Ex,139400
23,9742,Normal,534,Ex,230000
24,4224,Normal,572,TA,129900
25,8246,Normal,270,Ex,154000
26,14230,Normal,890,Ex,256300
27,7200,Normal,576,TA,134800
28,11478,Normal,772,Ex,306000
29,16321,Normal,319,TA,207500
30,6324,Normal,240,Fa,68500
31,8500,Normal,250,TA,40000
32,8544,Normal,271,Gd,149350
33,11049,Normal,484,Ex,179900
34,10552,Normal,447,Gd,165500
35,7313,Normal,556,Ex,277500
36,13418,Normal,691,Ex,309000
37,10859,Normal,672,Ex,145000
38,8532,Normal,498,Gd,153000
39,7922,NotNormal,246,TA,109000
40,6040,NotNormal,0,TA,82000
41,8658,NotNormal,440,Ex,160000
42,16905,Normal,308,Gd,170000
43,9180,Normal,504,Gd,144000
44,9200,Normal,308,TA,130250
45,7945,Normal,300,Ex,141000
46,7658,Normal,576,Ex,319900
47,12822,NotNormal,670,Ex,239686
48,11096,Normal,826,Ex,249700
49,4456,NotNormal,0,Gd,113000
50,7742,Normal,386,Ex,127000
51,13869,Normal,388,Gd,177000
52,6240,Normal,528,TA,114500
53,8472,Normal,516,TA,110000
54,50271,Normal,894,Gd,385000
55,7134,Normal,572,TA,130000
56,10175,Normal,576,Gd,180500
57,2645,NotNormal,480,Ex,172500
58,11645,Normal,565,Ex,196500
59,13682,NotNormal,641,Ex,438780
60,7200,Normal,352,Ex,124900
61,13072,NotNormal,576,Ex,158000
62,7200,Normal,288,TA,101000
63,6442,Normal,484,Ex,202500
64,10300,Normal,480,Gd,140000
65,9375,Normal,645,Ex,219500
66,9591,Normal,852,Ex,317000
67,19900,Normal,576,TA,180000
68,10665,Normal,558,Ex,226000
69,4608,Normal,220,TA,80000
70,15593,Normal,667,TA,225000
71,13651,Normal,516,Ex,244000
72,7599,Normal,360,TA,129500
73,10141,Normal,427,Gd,185000
74,10200,Normal,490,Gd,144900
75,5790,Normal,379,Gd,107400
76,1596,Normal,297,TA,91000
77,8475,Normal,283,Ex,135750
78,8635,Normal,240,TA,127000
79,10778,Normal,156,TA,136500
80,10440,Normal,440,Gd,110000
81,13000,Normal,509,TA,193500
82,4500,Normal,405,Ex,153500
83,10206,Normal,758,Ex,245000
84,8892,Normal,461,Gd,126500
85,8530,Normal,400,Gd,168500
86,16059,Normal,462,Ex,260000
87,11911,Normal,400,Ex,174000
88,3951,NotNormal,528,Ex,164500
89,8470,NotNormal,0,TA,85000
90,8070,Normal,0,Ex,123600
91,7200,Normal,420,TA,109900
92,8500,NotNormal,480,TA,98600
93,13360,Normal,432,Ex,163500
94,7200,Normal,506,Ex,133900
95,9337,Normal,684,Ex,204750
96,9765,Normal,420,Gd,185000
97,10264,Normal,472,Ex,214000
98,10921,Normal,432,TA,94750
99,10625,NotNormal,366,Fa,83000
100,9320,Normal,0,Fa,128950
101,10603,Normal,480,Gd,205000
102,9206,Normal,476,TA,178000
103,7018,NotNormal,410,TA,118964
104,10402,Normal,740,Ex,198900
105,7758,Normal,240,Ex,169500
106,9375,Normal,648,Ex,250000
107,10800,Normal,273,Gd,100000
108,6000,NotNormal,250,Ex,115000
109,8500,Normal,0,TA,115000
110,11751,Normal,546,Ex,190000
111,9525,Normal,325,Gd,136900
112,7750,Normal,400,Ex,180000
113,9965,NotNormal,792,Ex,383970
114,21000,NotNormal,450,TA,217000
115,7259,Normal,180,Ex,259500
116,3230,Normal,440,Gd,176000
117,11616,Normal,288,TA,139000
118,8536,NotNormal,430,Gd,155000
119,12376,Normal,594,Gd,320000
120,8461,NotNormal,390,Ex,163990
121,21453,Normal,540,Ex,180000
122,6060,Normal,264,Gd,100000
123,9464,Normal,288,Gd,136000
124,7892,Normal,530,Ex,153900
125,17043,Normal,435,TA,181000
126,6780,Normal,0,Gd,84500
127,4928,Normal,440,TA,128000
128,4388,Normal,0,Ex,87000
129,7590,Normal,453,TA,155000
130,8973,NotNormal,750,TA,150000
131,14200,Normal,487,Ex,226000
132,12224,Normal,390,Ex,244000
133,7388,Normal,624,Gd,150750
134,6853,Normal,471,Ex,220000
135,10335,Normal,440,Gd,180000
136,10400,Normal,530,Gd,174000
137,10355,Normal,318,TA,143000
138,11070,NotNormal,766,Gd,171000
139,9066,Normal,660,Ex,230000
140,15426,Normal,470,Ex,231500
141,10500,Normal,0,TA,115000
142,11645,Normal,660,Ex,260000
143,8520,Normal,720,Fa,166000
144,10335,Normal,577,Ex,204000
145,9100,NotNormal,504,TA,125000
146,2522,Normal,380,Ex,130000
147,6120,Normal,180,TA,105000
148,9505,Normal,434,Ex,222500
149,7500,Normal,0,Ex,141000
150,6240,Normal,240,Gd,115000
151,10356,Normal,440,TA,122000
152,13891,NotNormal,866,Ex,372402
153,14803,Normal,495,Gd,190000
154,13500,Normal,564,Gd,235000
155,11340,NotNormal,312,TA,125000
156,9600,Normal,0,Fa,79000
157,7200,Normal,625,TA,109500
158,12003,NotNormal,680,Ex,269500
159,12552,Normal,678,Ex,254900
160,19378,NotNormal,576,Ex,320000
161,11120,Normal,516,TA,162500
162,13688,Normal,726,Ex,412500
163,12182,NotNormal,532,Ex,220000
164,5500,Normal,0,Ex,103200
165,5400,Normal,216,Gd,152000
166,10106,Normal,0,Gd,127500
167,10708,Normal,303,Ex,190000
168,10562,NotNormal,789,Ex,325624
169,8244,Normal,440,Ex,183500
170,16669,Normal,511,TA,228000
171,12358,Normal,660,TA,128500
172,31770,Normal,528,Fa,215000
173,5306,Normal,504,Gd,239000
174,10197,Normal,504,TA,163000
175,12416,Normal,616,TA,184000
176,12615,Normal,576,TA,243000
177,10029,Normal,521,TA,211000
178,13650,Normal,451,Ex,172500
179,17423,NotNormal,1166,Ex,501837
180,8520,Normal,480,TA,100000
181,2117,Normal,440,Ex,177000
182,7588,Normal,216,Gd,200100
183,9060,Normal,252,Ex,120000
184,11426,Normal,484,Ex,200000
185,7438,Normal,576,Gd,127000
186,22950,Normal,840,Ex,475000
187,9947,Normal,497,Ex,173000
188,10410,Normal,180,Ex,135000
189,7018,NotNormal,528,TA,153337
190,4923,Normal,682,Ex,286000
191,10570,Normal,440,TA,315000
192,7472,Normal,484,Gd,184000
193,9017,Normal,666,Ex,192000
194,2522,Normal,380,Ex,130000
195,7180,Normal,352,TA,127000
196,2280,Normal,440,TA,148500
197,9416,NotNormal,786,Ex,311872
198,25419,NotNormal,795,Gd,235000
199,5520,NotNormal,0,Ex,104000
200,9591,Normal,456,Ex,274900
